## -----------------------------------------------------------
##
##
##   name    center_x center_y center_z  rin(z-in) rin(z-out)  dout   length        angle       B               gradient
##             [m]      [m]      [m]       [m]        [m]      [m]      [m]         [mrad]     [T]               [T/m]
##
QF13     0.455006     0         2.1887    0.06       0.06       0.6     0.6        38.4       0                  11.4662
DB23     0.352014     0         -0.7563   0.12       0.12       0.6     4.22367    28.8      -0.272916            0
QD12     0.285309     0         -3.7023   0.1        0.1        0.6     0.6        19.2       0                 -12.8444
DB23     0.238873     0		-6.6488	  0.09       0.09       0.6     4.22367	    9.6      -0.272916	          0
QF11     0.228737     0		-9.5956	  0.09       0.09       0.6     0.6	    0.0       0		         14.2077
QD10     0.228737     0		-20.319	  0.085      0.085      0.5     0.6	    0.0	      0		         -6.87619
QF9      0.228737     0         -31.0425  0.1        0.1        0.50    0.6         0.0       0   		  7.06014
SX41_12  0.228737     0         -32.0426  0.06       0.06       0.5     0.5         0.0       0                   0
QD8      0.228737     0         -41.7662  0.06       0.06       0.5     0.6         0.0       0                  -3.26057
SX42_12  0.228737     0         -42.7662  0.06       0.06       0.5     0.5         0.0       0                   0
